max_moving_frame,max_variance,max_therhold_pixel_num,max_R,is_fall
21,4.575,10,25.666666666666668,0
21,3.2556249999999998,10,35.0,0
21,3.143125,7,24.5,0
20,2.8850000000000002,9,25.666666666666668,0
23,3.075625,9,15.0,0
16,2.7849999999999997,7,17.5,0
25,4.030625000000001,8,16.666666666666668,0
18,4.010000000000001,8,17.5,0
15,2.1350000000000002,6,22.166666666666668,0
22,2.7131250000000002,5,18.0,0
29,4.680625,15,24.0,0
32,4.025625,16,22.166666666666668,0
29,4.885,19,23.333333333333332,0
31,4.463125,15,37.333333333333336,0
28,3.965625,16,22.5,0
27,4.313124999999999,15,38.5,0
24,3.3756250000000003,17,35.0,0
31,4.228125,15,36.0,0
26,3.1150000000000007,14,17.5,0
26,4.630625,14,31.5,0
15,1.7381250000000001,5,21.0,0
22,1.8525000000000003,5,22.0,0
27,1.9975,8,18.75,0
22,1.7650000000000001,8,17.5,0
19,1.653125,5,19.2,0
17,1.7006249999999998,6,27.0,0
29,1.41,5,21.0,0
18,1.4899999999999998,5,18.333333333333332,0
17,2.143125,6,20.0,0
10,1.143125,5,17.5,0
17,3.14,11,22.0,1
15,2.3475,9,30.333333333333332,1
15,2.54,8,27.0,1
18,3.3725,11,24.5,1
13,1.7600000000000002,7,45.5,1
15,1.905625,11,38.5,1
11,1.1506250000000002,3,45.5,1
15,1.575625,5,42.0,1
7,1.375625,4,40.0,1
4,0.8474999999999999,3,26.0,1
9,1.343125,7,30.0,1
12,1.3806249999999998,9,30.333333333333332,1
12,1.3131249999999999,4,26.0,1
10,1.9900000000000002,3,32.666666666666664,1
9,1.3631250000000001,4,30.0,1
11,1.6524999999999999,4,33.0,1
14,1.500625,5,33.0,1
11,1.165625,4,30.0,1
12,1.343125,4,42.0,1
13,1.5881250000000002,5,24.0,1
14,1.2931249999999999,7,22.5,1
11,1.55,5,30.0,1
16,1.7025,5,21.666666666666668,1
11,1.865625,8,33.0,1
16,1.5631249999999999,4,42.0,1
11,1.8006250000000001,4,30.333333333333332,1
18,1.925,4,44.0,1
14,2.000625,6,42.0,1
15,1.9625,7,38.5,1
15,1.75,5,32.666666666666664,1
13,1.780625,7,34.666666666666664,1
15,1.978125,5,33.0,1
14,1.4381249999999999,4,33.0,1
13,1.515,6,45.5,1
12,1.6099999999999999,6,38.5,1
14,1.6006250000000002,7,45.5,1
12,1.2431249999999998,5,33.0,1
13,1.2724999999999997,6,42.0,1
17,1.9275000000000002,9,38.5,1
13,1.9006250000000002,5,42.0,1
15,1.4631250000000002,7,42.0,1
14,1.2274999999999998,7,45.5,1
15,1.450625,6,42.0,1
11,1.1350000000000002,4,35.0,1
14,1.750625,4,30.333333333333332,1
15,2.0681249999999998,7,30.333333333333332,1
13,2.2,5,30.333333333333332,1
13,1.575625,5,36.0,1
11,1.3006250000000001,4,33.0,1
11,1.2349999999999999,4,33.0,1
8,1.000625,3,35.0,1
11,1.140625,4,30.0,1
13,1.3806249999999998,5,35.0,1
12,1.365625,4,35.0,1
11,1.188125,4,33.0,1
13,1.790625,4,28.0,1
11,1.1099999999999999,5,32.666666666666664,1
14,1.728125,6,42.0,1
14,1.685,4,40.0,1
14,1.5350000000000001,5,28.0,1
10,1.388125,4,35.0,1
13,1.7974999999999999,6,28.0,1
15,1.6056249999999999,4,28.0,1
11,1.263125,4,30.333333333333332,1
17,1.9431249999999998,4,35.0,1
15,1.9431249999999998,6,42.0,1
15,1.6631249999999997,8,30.0,1
15,2.4056249999999997,6,33.0,1
13,1.615625,6,38.5,1
17,1.6181249999999998,4,38.5,1
14,1.5256250000000002,7,42.0,1
14,1.4974999999999998,7,33.0,1
15,2.0225,6,35.0,1
15,1.9931249999999998,6,42.0,1
